name,性味归经,功效,主治,class,名医对于药物的用法,classExp
茜草,苦、寒。归肝经。,凉血、祛瘀、止血、通经,用于吐血、衄血、崩漏、外伤出血、瘀阻经闭、关节痹痛、跌扑肿痛,止血药,清热止血、治血尿,凉血止血类
仙鹤草,苦、涩、平。归心、肝经。,收敛止血、截疟、止痢、解毒、补虚,用于咯血、吐血、崩漏下血、疟疾、血痢、痈肿疮毒、阴痒带下、脱力劳伤,止血药,止血、治血尿,凉血止血类
小蓟,甘、苦、凉。归心、肝经。,凉血止血、散瘀解毒消痈,用于衄血、吐血、尿血、血淋、便血、崩漏、外伤出血、痈肿疮毒,止血药,清热止血、治血尿,凉血止血类
合欢皮,甘、平。归心、肝、肺经。,解郁安神、活血消肿,用于心神不安、忧郁失眠、肺痈、疮肿、跌扑伤痛,养心安神药,疏肝、安神,安神类
酸枣仁,甘、酸、平。归肝、胆、心经。,养心补肝、宁心安神、敛汗、生津,用于虚烦不眠、惊悸多梦、体虚多汗、津伤口渴,养心安神药,安神敛阴,安神类
大黄,苦、寒。归脾、胃、大肠、肝、心包经。,泻下攻积、清热泻火、凉血解毒、逐瘀通经、利湿退黄,用于实热积滞便秘、血热吐衄、目赤咽肿、痈肿疔疮、肠痈腹痛、瘀血经闭、产后瘀阻、跌打损伤、湿热痢疾、黄疸尿赤、淋证、水肿；外治烧烫伤,泻下药,泄浊毒、活血、通腑气、降肌酐,泄浊毒类
积雪草,苦、辛、寒。归肝、脾、肾经。,清热利湿、解毒消肿,用于湿热黄疸、中暑腹泻、石淋血淋、痈肿疮毒、跌扑损伤,清热类（清热解毒/清热利湿/清热凉血/清热通淋/清热燥湿/清热泻火）,清热泄浊毒,泄浊毒类
三七,甘、微苦、温。归肝、胃经。,散瘀止血、消肿定痛,用于咯血、吐血、衄血、便血、崩漏、外伤出血、胸腹刺痛、跌扑肿痛,止血药,活血、止血、降蛋白尿、抗肾脏纤维化,活血类
丹参,苦、微寒。归心、肝经。,活血祛瘀、通经止痛、清心除烦、凉血消痈,用于胸痹心痛、脘腹胁痛、癥瘕积聚、热痹疼痛、心烦不眠、月经不调、痛经经闭、疮疡肿痛,活血祛瘀药,养血活血、化瘀,活血类
桃仁,苦、甘、平。归心、肝、大肠经。,活血祛瘀、润肠通便、止咳平喘,用于经闭痛经、癥瘕痞块、肺痈肠痈、跌扑损伤、肠燥便秘、咳嗽气喘,活血祛瘀药,活血化瘀、润肠、泄浊毒,活血类
延胡索,辛、苦、温。归肝、脾经。,活血、行气、止痛,用于胸胁、脘腹疼痛、胸痹心痛、经闭痛经、产后瘀阻、跌扑肿痛,活血祛瘀药,理气止痛,活血类
泽兰,苦、辛、微温。归肝、脾经。,活血调经、祛瘀消痈、利水消肿,用于月经不调、经闭、痛经、产后瘀血腹痛、疮痈肿毒、水肿腹水,活血祛瘀药,利水活血,活血类
赤芍,苦、微寒。归肝经。,清热凉血、散瘀止痛,用于热入营血、温毒发斑、吐血衄血、目赤肿痛、肝郁胁痛、经闭痛经、癥瘕腹痛、跌扑损伤、痈肿疮疡,清热类（清热解毒/清热利湿/清热凉血/清热通淋/清热燥湿/清热泻火）,凉血活血,活血类
白芍,苦、酸、微寒。归肝、脾经。,养血调经、敛阴止汗、柔肝止痛、平抑肝阳,用于血虚萎黄、月经不调、自汗、盗汗、胁痛、腹痛、四肢挛痛、头痛眩晕,补虚药（补气/养血/助阳/滋阴/祛风湿）,养阴、缓急止痛、通便、降血压,活血类
当归,甘、辛、温。归肝、心、脾经。,补血活血、调经止痛、润肠通便,用于血虚萎黄、眩晕心悸、月经不调、经闭痛经、虚寒腹痛、风湿痹痛、跌扑损伤、痈疽疮疡、肠燥便秘,补虚药（补气/养血/助阳/滋阴/祛风湿）,活血补血,活血类
白花蛇舌草,甘、淡、凉。入胃、大肠、小肠经。,清热、利湿、解毒、抗癌,,清热类（清热解毒/清热利湿/清热凉血/清热通淋/清热燥湿/清热泻火）,清热解毒、降蛋白尿,清热类（利湿/解毒）
金银花,甘、寒。归肺、心、胃经。,清热解毒、疏散风热,用于痈肿疔疮、喉痹、丹毒、热毒血痢、风热感冒、温病发热,清热类（清热解毒/清热利湿/清热凉血/清热通淋/清热燥湿/清热泻火）,清热解毒、利咽,清热类（利湿/解毒）
蒲公英,苦、甘、寒。归肝、胃经。,清热解毒、消肿散结、利尿通淋,用于疔疮肿毒、乳痈、瘰疬、目赤、咽痛、肺痈、肠痈、湿热黄疸、热淋涩痛,清热类（清热解毒/清热利湿/清热凉血/清热通淋/清热燥湿/清热泻火）,清热解毒、降蛋白尿、利咽止咳、中药抗感染作用（胃肠道、泌尿道）,清热类（利湿/解毒）
土茯苓,甘、淡、平。归肝、胃经。,解毒、除湿、通利关节,用于梅毒及汞中毒所致的肢体拘挛、筋骨疼痛；湿热淋浊、带下、痈肿、瘰疬、疥癣,清热类（清热解毒/清热利湿/清热凉血/清热通淋/清热燥湿/清热泻火）,清热利湿、消肿止痛、解毒、降尿酸,清热类（利湿/解毒）
鱼腥草,辛、微寒。归肺经。,清热解毒、消痈排脓、利尿通淋,用于肺痈吐脓、痰热喘咳、热痢、热淋、痈肿疮毒,清热类（清热解毒/清热利湿/清热凉血/清热通淋/清热燥湿/清热泻火）,清热解毒、化热痰,清热类（利湿/解毒）
白茅根,甘、寒。归肺、胃、膀胱经。,凉血止血、清热利尿,用于血热吐血、衄血、尿血、热病烦渴、湿热黄疸、水肿尿少、热淋涩痛,清热类（清热解毒/清热利湿/清热凉血/清热通淋/清热燥湿/清热泻火）,清热通淋、治血尿,清热类（利湿/解毒）
板蓝根,苦、寒。归心、胃经。,清热解毒、凉血利咽,用于温疫时毒、发热咽痛、温毒发斑、痄腮、烂喉丹痧、大头瘟疫、丹毒、痈肿,清热类（清热解毒/清热利湿/清热凉血/清热通淋/清热燥湿/清热泻火）,清热解毒、利咽,清热类（利湿/解毒）
石韦,甘、苦、微寒。归肺、膀胱经。,利尿通淋、清肺止咳、凉血止血,用于热淋、血淋、石淋、小便不通、淋沥涩痛、肺热喘咳、吐血、衄血、尿血、崩漏,清热类（清热解毒/清热利湿/清热凉血/清热通淋/清热燥湿/清热泻火）,清热利湿、降蛋白尿,清热类（利湿/解毒）
知母,苦、甘、寒。归肺、胃、肾经。,清热泻火、滋阴润燥,用于外感热病、高热烦渴、肺热燥咳、骨蒸潮热、内热消渴、肠燥便秘,清热类（清热解毒/清热利湿/清热凉血/清热通淋/清热燥湿/清热泻火）,清热、除烦止渴,清热类（利湿/解毒）
黄芩,苦、寒。归肺、胆、脾、大肠、小肠经。,清热燥湿、泻火解毒、止血、安胎,用于湿温、暑湿、胸闷呕恶、湿热痞满、泻痢、黄疸、肺热咳嗽、高热烦渴、血热吐衄、痈肿疮毒、胎动不安,清热类（清热解毒/清热利湿/清热凉血/清热通淋/清热燥湿/清热泻火）,清热燥湿、清上焦之热、中药抗感染（呼吸道）,清热类（利湿/解毒）
薏苡仁,甘、淡、凉。归脾、胃、肺经。,利水渗湿、健脾止泻、除痹、排脓、解毒散结,用于水肿、脚气、小便不利、脾虚泄泻、湿痹拘挛、肺痈、肠痈、赘疣、癌肿,祛湿类（化湿/利水渗湿）,健脾利水、消水肿、生薏苡仁偏利水祛湿、炒薏苡仁偏健脾利水,清热类（利湿/解毒）
车前子,甘、寒。归肝、肾、肺、小肠经。,清热利尿通淋、渗湿止泻、明目、祛痰,用于热淋涩痛、水肿胀满、暑湿泄泻、目赤肿痛、痰热咳嗽,祛湿类（化湿/利水渗湿）,清热通淋,清热类（利湿/解毒）
菊花,甘、苦、微寒。归肺、肝经。,散风清热、平肝明目、清热解毒,用于风热感冒、头痛眩晕、目赤肿痛、眼目昏花、疮痈肿毒,解表药,解毒利咽、祛风解表,清热类（利湿/解毒）
地肤子,辛、苦、寒。归肾、膀胱经。,清热利湿、祛风止痒,用于小便涩痛、阴痒带下、风疹、湿疹、皮肤瘙痒,清热类（清热解毒/清热利湿/清热凉血/清热通淋/清热燥湿/清热泻火）,清热解表、祛风止痒,祛风止痒类
白鲜皮,苦、寒。归脾、胃、膀胱经。,清热燥湿、祛风解毒,用于湿热疮毒、黄水淋漓、湿疹、风疹、疥癣疮癞、风湿热痹、黄疸尿赤,清热类（清热解毒/清热利湿/清热凉血/清热通淋/清热燥湿/清热泻火）,清湿热、祛风止痒、,祛风止痒类
山茱萸,酸、涩、微温。归肝、肾经。,补益肝肾、收涩固脱,用于眩晕耳鸣、腰膝酸痛、阳痿遗精、遗尿尿频、崩漏带下、大汗虚脱、内热消渴,收敛药,补肾填精、性温,补肾类（降蛋白尿）
牛膝,苦、甘、酸、平。归肝、肾经。,瘀通经、补肝肾、强筋骨、利尿通淋、引血下行,用于经闭、痛经、腰膝酸痛、筋骨无力、淋证、水肿、头痛、眩晕、牙痛、口疮、吐血、衄血,活血祛瘀药,补肾填精、壮骨,补肾类（降蛋白尿）
生地黄,甘、寒。归心、肝、肾经。,清热凉血、养阴生津,用于热入营血、温毒发斑、吐血衄血、热病伤阴、舌绛烦渴、津伤便秘、阴虚发热、骨蒸劳热、内热消渴,清热类（清热解毒/清热利湿/清热凉血/清热通淋/清热燥湿/清热泻火）,补肾填精、清热养阴润燥,补肾类（降蛋白尿）
黄精,甘、平。归脾、肺、肾经。,补气养阴、健脾、润肺、益肾,用于脾胃气虚、体倦乏力、胃阴不足、口干食少、肺虚燥咳、劳嗽咳血、精血不足、腰膝酸软、须发早白、内热消渴,补虚药（补气/养血/助阳/滋阴/祛风湿）,补肾填精、滋肾阴、降蛋白尿,补肾类（降蛋白尿）
山药,甘、平。归脾、肺、肾经。,补脾养胃、生津益肺、补肾涩精,用于脾虚食少、久泻不止、肺虚喘咳、肾虚遗精、带下、尿频、虚热消渴,补虚药（补气/养血/助阳/滋阴/祛风湿）,健脾益气、降蛋白尿,补肾类（降蛋白尿）
熟地黄,甘、微温。归肝、肾经。,补血滋阴、益精填髓,用于血虚萎黄、心悸怔忡、月经不调、崩漏下血、肝肾阴虚、腰膝酸软、骨蒸潮热、盗汗遗精、内热消渴、眩晕、耳鸣、须发早白,补虚药（补气/养血/助阳/滋阴/祛风湿）,补肾填精、滋阴润燥,补肾类（降蛋白尿）
制何首乌,苦、甘、涩、微温。归肝、心、肾经。,补肝肾、益精血、乌须发、强筋骨、化浊降脂,用于血虚萎黄、眩晕耳鸣、须发早白、腰膝酸软、肢体麻木、崩漏带下、高脂血症,补虚药（补气/养血/助阳/滋阴/祛风湿）,益肝肾、降蛋白尿,补肾类（降蛋白尿）
菟丝子,辛、甘、平。归肝、肾、脾经。,补益肝肾、固精缩尿、安胎、明目、止泻；外用消风祛斑,用于肝肾不足、腰膝酸软、阳痿遗精、遗尿尿频、肾虚胎漏、胎动不安、目昏耳鸣、脾肾虚泻：外治白癜风,补虚药（补气/养血/助阳/滋阴/祛风湿）,补肾、降蛋白尿,补肾类（降蛋白尿）
淫羊藿,辛、甘、温。归肝、肾经。,补肾阳、强筋骨、祛风湿,用于肾阳虚衰、阳痿遗精、筋骨痿软、风湿痹痛、麻木拘挛,补虚药（补气/养血/助阳/滋阴/祛风湿）,温阳补肾,补肾类（降蛋白尿）
墨旱莲,甘、酸、寒。归肾、肝经。,滋补肝肾、凉血止血,用于肝肾阴虚、牙齿松动、须发早白、眩晕耳鸣、腰膝酸软、阴虚血热吐血、衄血、尿血、血痢、崩漏下血、外伤出血,补虚药（补气/养血/助阳/滋阴/祛风湿）,滋阴补肾、与女贞子合方为二至丸。,补肾类（降蛋白尿）
女贞子,甘、苦、凉。归肝、肾经。,滋补肝肾、明目乌发,用于肝肾阴虚、眩晕耳鸣、腰膝酸软、须发早白、目暗不明、内热消渴、骨蒸潮热,补虚药（补气/养血/助阳/滋阴/祛风湿）,滋阴补肾、润肠、与墨旱莲合方为二至丸,补肾类（降蛋白尿）
桑寄生,苦、甘、平。归肝、肾经。,祛风湿、补肝肾、强筋骨、安胎元,用于风湿痹痛、腰膝酸软、筋骨无力、崩漏经多、妊娠漏血、胎动不安、头晕目眩,补虚药（补气/养血/助阳/滋阴/祛风湿）,补肾气、祛风湿、强脊骨,补肾类（降蛋白尿）
麦芽,甘、平。归脾、胃经。,行气消食、健脾开胃、回乳消胀,用于食积不消、脘腹胀痛、脾虚食少、乳汁郁积、乳房胀痛、妇女断乳、肝郁胁痛、肝胃气痛,消食药,健脾消食、开胃,补脾益气类
陈皮,苦、辛、温。归肺、脾经。,理气健脾、燥湿化痰,用于脘腹胀满、食少吐泻、咳嗽痰多,理气药,健脾理气,补脾益气类
砂仁,辛、温。归脾、胃、肾经。,化湿开胃、温脾止泻、理气安胎,用于湿浊中阻、脘痞不饥、脾胃虚寒、呕吐泄泻、妊娠恶阻、胎动不安,祛湿类（化湿/利水渗湿）,醒脾和胃、燥湿,补脾益气类
茯苓,甘、淡、平。归心、肺、脾、肾经。,利水渗湿、健脾、宁心,用于水肿尿少、痰饮眩悸、脾虚食少、便溏泄泻、心神不安、惊悸失眠,祛湿类（化湿/利水渗湿）,淡渗利湿、茯神偏利湿安神、茯苓皮偏利水祛湿,补脾益气类
白术,苦、甘、温。归脾、胃经。,健脾益气、燥湿利水、止汗、安胎,用于脾虚食少、腹胀泄泻、痰饮眩悸、水肿、自汗、胎动不安,补虚药（补气/养血/助阳/滋阴/祛风湿）,健脾益气、燥湿,补脾益气类
党参,甘、平。归脾、肺经。,健脾益肺、养血生津,用于脾肺气虚、食少倦怠、咳嗽虚喘、气血不足、面色萎黄、心悸气短、津伤口渴、内热消渴,补虚药（补气/养血/助阳/滋阴/祛风湿）,补益中气,补脾益气类
甘草,甘、平。归心、肺、脾、胃经。,补脾益气、清热解毒、祛痰止咳、缓急止痛、调和诸药,用于脾胃虚弱、倦怠乏力、心悸气短、咳嗽痰多、脘腹、四肢挛急疼痛、痈肿疮毒、缓解药物毒性、烈性,补虚药（补气/养血/助阳/滋阴/祛风湿）,调和诸药；生甘草：调和诸药为主；炙甘草和中为主,补脾益气类
黄芪,甘、微温。归肺、脾经。,补气升阳、固表止汗、利水消肿、生津养血、行滞通痹、托毒排脓、敛疮生肌,用于气虚乏力、食少便溏、中气下陷、久泻脱肛、便血崩漏、表虚自汗、气虚水肿、内热消渴、血虚萎黄、半身不遂、痹痛麻木、痈疽难溃、久溃不敛,补虚药（补气/养血/助阳/滋阴/祛风湿）,补中气、降蛋白尿、降肌酐、双向免疫调节（抑制非正常免疫、调高正常免疫力）,补脾益气类
太子参,甘、微苦、平。归脾、肺经。,益气健脾、生津润肺,用于脾虚体倦、食欲不振、病后虚弱、气阴不足、自汗口渴、肺燥干咳,补虚药（补气/养血/助阳/滋阴/祛风湿）,补气阴、药性平和,补脾益气类
五指毛桃,味甘、性平。入脾、肺、肝经。,健脾补肺、行气利湿、舒筋活络之功效,主治脾虚浮肿、食少无力、肺痨咳嗽、盗汗、带下、产后无乳、风湿痹痛、水肿、肝硬化腹水、肝炎、跌打损伤,补虚药（补气/养血/助阳/滋阴/祛风湿）,补气,补脾益气类
重楼(七叶一枝花）,苦、微寒；有小毒。归肝经。,清热解毒、消肿止痛、凉肝定惊,用于疔疮痈肿、咽喉肿痛、蛇虫咬伤、跌扑伤痛、惊风抽搐,清热类（清热解毒/清热利湿/清热凉血/清热通淋/清热燥湿/清热泻火）,消蛋白尿,降蛋白尿