Pinyin,Name,symp1,symp2,sqww1,sqww2
bai shu,白术,3.4358006,-0.106999824,-1.31957048,-0.2119731
dang shen,党参,2.9004398,1.171141675,1.00593573,-3.0893506
gan cao,甘草or炙甘草,-2.9330903,-0.359466026,0.82429177,-3.2541288
huang jing,黄精,3.0461884,-0.151341626,1.16645629,-2.8917827
huang qi,黄芪,-1.1099612,-0.327982972,0.60344607,-2.763461
shan yao,山药,-1.3651132,0.066801658,1.34552008,-2.6230577
tai zi shen,太子参,3.0262223,0.230562678,1.20761639,-3.2038087
bai shao,白芍,-0.406017,0.035180917,-1.23608869,2.1469251
dang gui,当归,0.3709684,0.34486871,-0.82918161,0.359335
shu di huang,熟地黄or生地黄,1.0466784,0.401465526,-0.06668752,-0.4518289
tu si zi,菟丝子,1.4197758,0.708940109,1.23492247,-2.3287844
yin yang huo,淫羊藿,-0.6091309,0.514938494,-0.57791131,-0.1461615
mo han lian,墨旱莲,1.3666287,0.375970295,0.29504401,0.2426997
nv zhen zi,女贞子,1.216867,0.496532192,0.23090464,-0.9032129
sang ji sheng,桑寄生,-1.8605144,0.763442373,0.54276711,-1.1447891
bai hua she she cao,白花蛇舌草,2.5172435,0.104669383,0.1627093,-3.0435661
bai mao gen,白茅根,-2.4165646,-1.095665405,-0.06042856,3.2662173
bai xian p,白鲜皮,2.334879,-0.133743713,-0.98092073,2.9198657
ban lan gen,板蓝根,-1.9234737,-1.457608054,-0.37700647,2.0556975
yi yi ren,薏苡仁or炒薏苡仁,2.6692315,0.344425609,0.5421086,-3.2173752
che qian zi,车前子,-2.7355343,-0.676331351,0.45578868,0.8457328
chen pi,陈皮,3.5006943,0.199752262,-1.48164457,0.6973096
chi shao,赤芍,-1.4424366,-1.053371737,-0.76188272,2.0850926
da huang,大黄,-1.2219937,-1.230238507,-0.79479497,2.3302041
dan shen,丹参,-1.7091251,-0.663347075,-0.49645131,1.7293588
fu ling,茯苓,-2.2446696,0.102160206,1.40676743,-2.9039363
di fu zi,地肤子,-2.4389324,0.537877103,-1.08927339,2.4521876
yu xing cao,鱼腥草,-2.8017621,-0.266994545,,
huang qin,黄芩,3.0881668,0.920493618,-0.71202558,2.6977492
ji xue cao,积雪草,2.4089213,0.449333897,-1.22153753,1.769169
jin yin huang,金银花,-2.1431005,-1.326589415,0.17783171,3.1648189
ju hua,菊花,-0.6465664,0.096900215,-0.15956586,2.5701562
mai ya,麦芽,-1.7011466,0.05451726,0.49103791,-3.2567791
niu xi,牛膝,-0.4684357,-0.248083541,0.53262765,-1.3459772
qian cao,茜草,-1.3549314,0.646719923,-0.69823068,2.1391994
san qi,三七,-1.5638986,0.369787028,,
sha ren,砂仁,2.7163468,-0.152757475,-1.29964918,0.2822858
sheng shan zhu yu,生山茱萸,0.5921531,0.4839394,,
shi wei,石韦,-1.976869,-0.779545972,-0.25874418,3.0435277
tao ren,桃仁,-2.0299674,-0.263186762,0.97879798,-1.0206102
suan zao ren,酸枣仁,2.8821746,0.421827039,1.11447817,-1.6137685
tu fu ling,土茯苓,-2.3001222,0.392077079,0.40741736,-2.3186316
xian he cao,仙鹤草,-1.8171686,-0.002153883,0.99258095,-0.6356997
xiao ji,小蓟,2.2662917,0.465083113,0.54082162,-0.7739767
yan hu suo,延胡索,-1.4990879,-0.472195217,-1.27030652,0.7323943
ze lan,泽兰,-1.2921745,-0.605582187,-1.15535158,0.6230937
zhi mu,知母,3.2061158,0.673777526,0.10373551,2.9180308
gan yu xing cao,干鱼腥草,,,-0.44719022,2.9185191
he huan pi,合欢皮,,,1.20388514,-1.9472918
pu gong ying,蒲公英,,,-0.02015489,2.2421056
sa qi fen,三七粉,,,-0.8868131,-0.5488337
sheng di huang,生地黄,,,0.45694071,0.5025683
sheng shan yu rou,生山萸肉,,,-0.23625272,-0.2845291
wu zhi mao tao,五指毛桃,,,1.00950343,-2.598297
zhi he shou wu,制何首乌,,,-0.08102792,-0.6226419
qi ye yi zhi hua,七叶一枝花,,,-0.51524442,2.4100095